UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2022,999,333271411,164963406,168308005,125403409,126212432,21827475,23570251,2228511,2184472,10056132,10846936,447845,434317,5000034,5059597,129873323,130712138,24130471,25944815,3640171,3653030,11922398,12699615,878845,867255,132559911,136651529,97193663,98700533,20173558,21874122,1196102,1228392,9713304,10505928,321833,316202,3961451,4026352,100734864,102279252,21981697,23748186,2184336,2277739,11293539,12073697,658737,656186,32403495,31656476,28209746,27511899,1653917,1696129,1032409,956080,342828,341008,126012,118115,1038583,1033245,29138459,28432886,2148774,2196629,1455835,1375291,628859,625918,220108,211069
R,7,2022,0,3673267,1877104,1796163,1295336,1235593,304007,295818,34302,32870,108071,102101,7413,7021,127975,122760,1413034,1348470,374851,363920,58205,55868,155319,147263,16200,15361,1363702,1300984,880770,835375,264781,257777,12437,11845,100135,94621,4118,3959,101461,97407,974618,925449,321790,312626,27495,26365,139131,131933,10480,10009,513402,495179,414566,400218,39226,38041,21865,21025,7936,7480,3295,3062,26514,25353,438416,423021,53061,51294,30710,29503,16188,15330,5720,5352
R,7,2022,1,3590762,1836611,1754151,1261262,1199901,301638,292815,33713,32471,108447,102650,7007,6550,124544,119764,1375797,1310016,370534,359198,56939,54882,154500,146790,15549,14683,1340831,1275934,860570,813485,264070,256314,12398,11916,100840,95285,4113,3845,98840,95089,951987,901405,319536,309783,27047,26068,138917,131808,10309,9759,495780,478217,400692,386416,37568,36501,21315,20555,7607,7365,2894,2705,25704,24675,423810,408611,50998,49415,29892,28814,15583,14982,5240,4924
R,7,2022,2,3727276,1905369,1821907,1319672,1259277,302046,292914,35502,33984,116046,109474,7105,6702,124998,119556,1434638,1369221,371279,359255,58657,56225,162309,153563,15660,14811,1405591,1341920,913302,868630,266187,258448,13738,13239,108297,102124,4365,4055,99702,95424,1005494,956840,322155,312126,28482,27416,146742,138797,10645,10019,499778,479987,406370,390647,35859,34466,21764,20745,7749,7350,2740,2647,25296,24132,429144,412381,49124,47129,30175,28809,15567,14766,5015,4792
R,7,2022,3,3788899,1934750,1854149,1342913,1283080,304498,297335,36282,34877,118613,112162,7349,6914,125095,119781,1457895,1393181,373703,363764,59548,57268,164948,156295,15922,15035,1426212,1363123,928808,882660,268353,262364,14308,13832,110571,104570,4503,4255,99669,95442,1020893,970845,324171,316013,29126,28099,149095,141230,10814,10233,508538,491026,414105,400420,36145,34971,21974,21045,8042,7592,2846,2659,25426,24339,437002,422336,49532,47751,30422,29169,15853,15065,5108,4802
R,7,2022,4,3877538,1982062,1895476,1374520,1311084,311273,303801,36987,34952,124501,116832,7421,7037,127360,121770,1491581,1422999,381388,371198,60687,57713,171919,161793,16201,15337,1466085,1398234,952653,904011,275862,269497,14330,13840,116696,109292,4677,4385,101867,97209,1046744,993791,332622,324006,29481,28392,156321,146757,11191,10513,515977,497242,421867,407073,35411,34304,22657,21112,7805,7540,2744,2652,25493,24561,444837,429208,48766,47192,31206,29321,15598,15036,5010,4824
R,7,2022,5,3955531,2024011,1931520,1408938,1340809,311907,303574,36133,34962,131114,122799,7593,7170,128326,122206,1526795,1453110,381570,370642,60264,58119,179630,168173,16615,15604,1498797,1425631,975521,923747,277033,269719,15404,14771,123290,115349,4874,4520,102675,97525,1070239,1013784,333304,323905,30962,29628,163943,153182,11613,10757,525214,505889,433417,417062,34874,33855,20729,20191,7824,7450,2719,2650,25651,24681,456556,439326,48266,46737,29302,28491,15687,14991,5002,4847
R,7,2022,6,4058971,2074240,1984731,1459991,1391034,312712,306661,35731,34339,128793,121447,7473,7176,129540,124074,1579042,1505081,382826,374328,60466,58054,177529,167635,16563,15772,1535870,1467116,1012318,960562,278400,273385,15927,15325,120943,114077,4739,4558,103543,99209,1107925,1052195,335117,328143,31887,30638,161642,152662,11491,10942,538370,517615,447673,430472,34312,33276,19804,19014,7850,7370,2734,2618,25997,24865,471117,452886,47709,46185,28579,27416,15887,14973,5072,4830
R,7,2022,7,4094501,2091380,2003121,1469415,1403007,318710,310905,35461,34483,131165,123500,7397,7194,129232,124032,1588194,1517029,388696,378509,60281,58255,179592,169651,16463,15768,1553945,1483757,1021887,970968,283898,277058,16272,15599,123635,116270,4743,4596,103510,99266,1117446,1062649,340510,331794,32402,30974,164236,154887,11524,10998,537435,519364,447528,432039,34812,33847,19189,18884,7530,7230,2654,2598,25722,24766,470748,454380,48186,46715,27879,27281,15356,14764,4939,4770
R,7,2022,8,4082087,2090227,1991860,1472917,1397232,319327,310330,35666,34443,127341,120545,7075,6842,127901,122468,1590501,1509791,388142,377233,60407,58076,175477,165828,16183,15429,1555586,1479368,1027558,970725,284278,276605,16626,15901,120133,113729,4602,4439,102389,97969,1122148,1061192,339875,330793,32743,31220,160458,151556,11370,10821,534641,512492,445359,426507,35049,33725,19040,18542,7208,6816,2473,2403,25512,24499,468353,448599,48267,46440,27664,26856,15019,14272,4813,4608
