UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2023,9,4097627,2098259,1999368,1477137,1401216,320789,311681,36006,34743,128959,122102,7106,6891,128262,122735,1595049,1514012,389756,378699,60824,58425,177273,167520,16232,15491,1559731,1482985,1028734,971578,285443,277663,16627,15900,121724,115255,4629,4476,102574,98113,1123482,1062169,341077,331882,32751,31224,162209,153204,11409,10870,538528,516383,448403,429638,35346,34018,19379,18843,7235,6847,2477,2415,25688,24622,471567,451843,48679,46817,28073,27201,15064,14316,4823,4621
R,7,2023,10,4083444,2086861,1996583,1467514,1400304,318754,310328,35692,34432,131237,123775,7126,6835,126538,120909,1583702,1511253,386347,375765,60282,58048,179308,168982,16329,15435,1552711,1480856,1021406,969807,284400,277077,16787,16032,124217,116924,4688,4426,101213,96590,1114755,1058839,338916,329903,32786,31385,164533,154722,11525,10771,534150,515727,446108,430497,34354,33251,18905,18400,7020,6851,2438,2409,25325,24319,468947,452414,47431,45862,27496,26663,14775,14260,4804,4664
R,7,2023,11,4089809,2093367,1996442,1478750,1406762,319837,309476,36726,35348,126295,119310,6885,6641,124874,118905,1593390,1515896,386775,373675,61361,58896,173248,163568,15889,15187,1553728,1477405,1027497,972474,285939,276922,16853,16166,119372,112749,4464,4297,99603,94797,1119350,1059891,339796,328651,32840,31434,158673,149704,11137,10606,539639,519037,451253,434288,33898,32554,19873,19182,6923,6561,2421,2344,25271,24108,474040,456005,46979,45024,28521,27462,14575,13864,4752,4581
R,7,2023,12,4134024,2120895,2013129,1507635,1426650,322087,310865,35252,33916,123795,116622,6821,6515,125305,118561,1622759,1535480,389115,374718,60241,57803,170707,160583,15886,15004,1567054,1482462,1039153,978685,289691,279094,17142,16215,117042,110256,4443,4229,99583,93983,1131046,1065340,343541,330259,33316,31633,156132,146825,11128,10457,553841,530667,468482,447965,32396,31771,18110,17701,6753,6366,2378,2286,25722,24578,491713,470140,45574,44459,26925,26170,14575,13758,4758,4547
R,7,2023,13,4219014,2161119,2057895,1545577,1465663,326716,315323,34838,33583,122159,116366,6585,6434,125244,120526,1660933,1576415,393901,380556,60043,58174,168362,160322,15445,14906,1591070,1512354,1059775,1000761,294816,284665,17320,16979,115684,110290,4450,4302,99025,95357,1151372,1088742,348580,336776,33428,32879,154075,146887,10985,10500,570049,545541,485802,464902,31900,30658,17518,16604,6475,6076,2135,2132,26219,25169,509561,487673,45321,43780,26615,25295,14287,13435,4460,4406
R,7,2023,14,4308273,2205676,2102597,1583657,1502444,335483,325128,35145,33730,121132,116198,6649,6602,123610,118495,1697225,1611472,401960,389564,60224,57347,166309,159036,15309,14928,1627307,1549790,1089075,1029934,303459,294094,17882,17296,114583,110076,4512,4479,97796,93911,1179298,1116718,356810,345958,33921,32358,152189,145847,10904,10631,578369,552807,494582,472510,32024,31034,17263,16434,6549,6122,2137,2123,25814,24584,517927,494754,45150,43606,26303,24989,14120,13189,4405,4297
R,7,2023,15,4472392,2290485,2181907,1648135,1561932,347925,337632,36809,35241,126301,120764,6883,6647,124432,119691,1762375,1671802,414765,403024,61935,59427,171734,163738,15842,14927,1688537,1608850,1131451,1071149,315027,305836,18683,18054,119859,114570,4709,4436,98808,94805,1222506,1158482,368994,358536,34840,33449,157803,150356,11311,10559,601948,573057,516684,490783,32898,31796,18126,17187,6442,6194,2174,2211,25624,24886,539869,513320,45771,44488,27095,25978,13931,13382,4531,4368
R,7,2023,16,4465940,2287751,2178189,1653144,1567953,346217,334108,37181,35393,124549,118396,6774,6718,119886,115621,1763238,1673906,410305,396582,61879,59277,168336,159988,15425,15031,1688667,1606513,1138542,1076904,313912,303086,18559,18076,118016,112340,4663,4524,94975,91583,1226129,1161109,365480,353546,34424,33315,154451,147038,11061,10649,599084,571676,514602,491049,32305,31022,18622,17317,6533,6056,2111,2194,24911,24038,537109,512797,44825,43036,27455,25962,13885,12950,4364,4382
R,7,2023,17,4395048,2248723,2146325,1635178,1551159,333117,325472,36200,34700,123371,119315,6662,6489,114195,109190,1739983,1651312,393282,383589,60270,57553,165434,159102,14876,14300,1665407,1589298,1132261,1071293,302481,295601,18283,17757,117169,113566,4567,4421,90646,86660,1215713,1151052,351048,342652,33721,32408,152425,146779,10672,10174,583316,557027,502917,479866,30636,29871,17917,16943,6202,5749,2095,2068,23549,22530,524270,500260,42234,40937,26549,25145,13009,12323,4204,4126
R,7,2023,18,4357485,2228634,2128851,1624405,1540695,326551,317488,35777,34368,126437,124792,6689,6506,108775,105002,1723969,1636610,383075,372587,59341,56868,166837,163373,14546,14045,1658780,1586740,1132486,1072660,296792,288911,18054,17607,120515,119172,4635,4591,86298,83799,1211757,1149424,342323,333648,33166,32118,154457,151715,10470,10260,569854,542111,491919,468035,29759,28577,17723,16761,5922,5620,2054,1915,22477,21203,512212,487186,40752,38939,26175,24750,12380,11658,4076,3785
